TAKIM NO,PAKET NO,GÖNDERME ZAMANI,BASINÇ,YÜKSEKLİK 1,YÜKSEKLİK 2,İRTİFA FARKI,HIZ,SICAKLIK,PİL GERİLİMİ,GPS LAT,GPS LON,GPS ALT,UYDU STATÜSÜ,HATA KODU,PITCH,ROLL,YAW,DÖNÜŞ SAYISI,VİDEO AKTARIM
71523,1,15:57:04,1013.25,249.08,248.17,0.92,9.72,23.8,8.09,39.92002,32.84991,1331.0,İNİŞ,0000,14,-6,197,3,HAYIR
71523,2,15:57:05,1012.12,249.80,250.11,0.30,8.87,24.1,8.09,39.92002,32.85003,1330.4,İNİŞ,0000,16,-4,200,3,HAYIR
71523,3,15:57:06,1013.90,247.12,246.59,0.53,9.11,23.8,8.08,39.92007,32.84996,1329.5,İNİŞ,0000,15,-6,198,3,HAYIR
71523,4,15:57:06,1012.55,249.17,248.52,0.65,9.90,24.4,8.08,39.92009,32.84995,1330.7,İNİŞ,0000,17,-4,200,3,HAYIR
71523,5,15:57:07,1014.38,246.65,246.64,0.02,8.77,24.2,8.07,39.92003,32.84994,1329.1,İNİŞ,0000,15,-5,197,3,HAYIR
71523,6,15:57:07,1011.82,246.90,247.47,0.56,8.91,24.5,8.07,39.92,32.85002,1329.6,İNİŞ,0000,14,-4,195,3,HAYIR
71523,7,15:57:07,1013.11,247.12,247.11,0.00,9.38,24.0,8.06,39.91992,32.84995,1328.9,İNİŞ,0000,16,-3,201,3,HAYIR
71523,8,15:57:12,1012.59,254.21,254.38,0.16,8.71,24.0,8.06,39.91994,32.84996,1332.3,İNİŞ,0000,17,-6,202,3,HAYIR
71523,9,15:57:12,1013.66,250.74,251.54,0.80,9.62,24.1,8.05,39.92008,32.85005,1330.9,İNİŞ,0000,14,-6,198,3,HAYIR
71523,10,15:57:12,1013.69,253.29,254.20,0.91,10.30,24.2,8.05,39.92005,32.84992,1330.4,İNİŞ,1000,15,-5,204,3,HAYIR
71523,11,15:57:12,1011.16,248.69,248.96,0.27,9.48,24.0,8.04,39.92009,32.84996,1330.7,İNİŞ,0000,17,-5,199,3,HAYIR
71523,12,15:57:13,1011.95,252.99,252.11,0.88,8.50,23.7,8.04,39.92002,32.85007,1330.5,İNİŞ,0000,16,-4,196,3,HAYIR
71523,13,15:57:13,1013.67,251.81,250.97,0.84,9.75,24.6,8.04,39.91993,32.85,1328.5,İNİŞ,0000,16,-7,201,3,HAYIR
71523,14,15:57:14,1011.42,255.05,254.80,0.24,10.24,24.2,8.03,39.91999,32.84997,1331.3,İNİŞ,1000,14,-4,199,3,HAYIR
71523,15,15:57:14,1011.74,247.99,248.88,0.89,9.54,23.9,8.03,39.92009,32.84995,1329.2,İNİŞ,0000,14,-3,195,3,HAYIR
71523,16,15:57:14,1013.19,253.36,252.65,0.71,9.59,24.6,8.02,39.92,32.84998,1329.2,İNİŞ,0000,15,-5,199,3,HAYIR
71523,17,15:57:14,1012.42,251.44,251.42,0.02,8.55,23.8,8.01,39.91999,32.84994,1328.4,İNİŞ,0000,15,-5,204,3,HAYIR
71523,18,15:57:14,1012.81,249.92,249.23,0.69,10.42,24.4,8.01,39.92005,32.84997,1330.2,İNİŞ,1000,16,-5,198,3,HAYIR
71523,19,15:57:15,1011.86,248.69,248.19,0.50,9.60,24.3,8.00,39.91992,32.85002,1329.4,İNİŞ,0000,16,-6,198,3,HAYIR
71523,20,15:57:15,1012.43,247.81,247.10,0.71,9.72,24.4,8.00,39.92,32.84998,1331.8,İNİŞ,0000,13,-5,201,3,HAYIR
71523,21,15:57:15,1011.71,246.78,246.33,0.45,10.19,24.0,7.99,39.92,32.8499,1330.9,İNİŞ,1000,17,-6,204,3,HAYIR
