PAKET NO,UYDU STATÜSÜ,HATA KODU,GÖNDERME SAATİ,BASINÇ,YÜKSEKLİK,İNİŞ HIZI,SICAKLIK,PİL GERİLİMİ,GPS LAT,GPS LON,GPS ALT,PITCH,ROLL,YAW,RHRHRH,TAKIM NO
1,4,0000,22/02/2026 14:35:42,1014.29,250.46,10.43,24.4,8.09,39.92,32.84995,1328.4,15,-6,203,1A2B3C,71523
2,4,0000,22/02/2026 14:35:42,1011.92,248.29,9.74,24.4,8.09,39.92002,32.84994,1328.6,16,-4,205,1A2B3C,71523
3,4,0000,22/02/2026 14:35:43,1011.63,253.74,9.06,23.8,8.08,39.92007,32.85002,1332.3,14,-7,196,1A2B3C,71523
4,4,0000,22/02/2026 14:35:43,1011.53,252.22,9.33,23.8,8.08,39.92009,32.84992,1330.6,13,-5,196,1A2B3C,71523
5,4,0000,22/02/2026 14:35:43,1011.80,251.21,10.28,23.8,8.07,39.9201,32.85006,1331.3,14,-4,198,1A2B3C,71523
6,4,0000,22/02/2026 14:35:43,1013.66,247.02,10.23,23.9,8.07,39.92003,32.85008,1330.0,17,-4,205,1A2B3C,71523
7,4,0000,22/02/2026 14:35:43,1012.37,252.67,8.52,24.5,8.06,39.92001,32.85008,1329.9,15,-4,197,1A2B3C,71523
8,4,0000,22/02/2026 14:35:43,1012.72,253.01,8.90,24.0,8.06,39.92009,32.85005,1332.1,14,-7,196,1A2B3C,71523
9,4,0000,22/02/2026 14:35:43,1013.85,247.93,10.07,23.8,8.05,39.9199,32.84994,1332.2,16,-6,196,1A2B3C,71523
10,4,0000,22/02/2026 14:35:44,1011.13,250.00,9.21,24.2,8.05,39.92004,32.85008,1329.5,14,-4,200,1A2B3C,71523
11,4,0000,22/02/2026 14:35:44,1012.46,247.45,8.62,23.8,8.04,39.91992,32.85004,1332.0,16,-5,197,1A2B3C,71523
12,4,0000,22/02/2026 14:35:44,1011.65,252.30,8.53,24.5,8.04,39.92005,32.85003,1331.2,16,-6,200,1A2B3C,71523
13,4,0000,22/02/2026 14:35:44,1012.29,247.89,9.57,23.7,8.04,39.92009,32.85009,1330.5,14,-4,196,1A2B3C,71523
14,4,0000,22/02/2026 14:35:44,1011.73,247.15,10.07,24.4,8.03,39.91994,32.85008,1329.0,16,-4,197,1A2B3C,71523
15,4,0000,22/02/2026 14:35:45,1010.64,254.32,10.04,24.1,8.03,39.91997,32.84994,1329.7,16,-3,197,1A2B3C,71523
16,4,0000,22/02/2026 14:35:45,1011.95,249.83,8.55,24.5,8.02,39.92002,32.85005,1331.2,15,-5,201,1A2B3C,71523
17,4,0000,22/02/2026 14:35:45,1013.60,248.00,10.25,23.8,8.01,39.92005,32.85001,1329.2,16,-5,196,1A2B3C,71523
18,4,0000,22/02/2026 14:35:45,1011.80,250.54,9.41,23.8,8.01,39.92004,32.85007,1328.7,16,-6,202,1A2B3C,71523
19,4,0000,22/02/2026 14:35:45,1013.11,246.22,8.58,24.3,8.00,39.92009,32.85002,1329.1,13,-3,198,1A2B3C,71523
20,4,0000,22/02/2026 14:35:45,1014.23,254.85,9.22,23.9,8.00,39.92002,32.84992,1330.5,13,-5,203,1A2B3C,71523
21,4,0000,22/02/2026 14:35:46,1013.34,249.59,9.95,24.2,7.99,39.92001,32.8501,1331.4,13,-4,197,1A2B3C,71523
22,4,0000,22/02/2026 14:35:46,1013.93,247.07,10.18,23.8,7.99,39.92003,32.84998,1330.4,14,-4,197,1A2B3C,71523
23,4,0000,22/02/2026 14:35:46,1014.17,247.54,10.41,23.9,7.98,39.92006,32.85007,1332.0,15,-4,202,1A2B3C,71523
24,4,0000,22/02/2026 14:35:46,1011.96,253.69,8.60,24.4,7.98,39.91994,32.85004,1329.6,15,-4,202,1A2B3C,71523
25,4,0000,22/02/2026 14:35:46,1014.48,249.33,9.95,23.8,7.97,39.92003,32.84994,1329.0,15,-6,204,1A2B3C,71523
26,4,0000,22/02/2026 14:35:46,1011.46,248.49,9.12,24.6,7.97,39.92008,32.84996,1331.0,15,-6,201,1A2B3C,71523
27,4,0000,22/02/2026 14:35:47,1014.24,248.62,10.39,24.5,7.96,39.92007,32.85007,1328.6,17,-5,200,1A2B3C,71523
