TAKIM NO,PAKET NO,GÖNDERME ZAMANI,BASINÇ,YÜKSEKLİK 1,YÜKSEKLİK 2,İRTİFA FARKI,HIZ,SICAKLIK,PİL GERİLİMİ,GPS LAT,GPS LON,GPS ALT,UYDU STATÜSÜ,PITCH,ROLL,YAW,DÖNÜŞ SAYISI,VİDEO AKTARIM
71523,1,15:32:58,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,2,15:32:58,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,3,15:32:59,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,4,15:32:59,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,5,15:32:59,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,6,15:32:59,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,7,15:32:59,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,8,15:32:59,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,9,15:32:59,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,10,15:33:00,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,11,15:33:00,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,12,15:33:00,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,13,15:33:00,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
