TAKIM NO,PAKET NO,GÖNDERME ZAMANI,BASINÇ,YÜKSEKLİK 1,YÜKSEKLİK 2,İRTİFA FARKI,HIZ,SICAKLIK,PİL GERİLİMİ,GPS LAT,GPS LON,GPS ALT,UYDU STATÜSÜ,HATA KODU,PITCH,ROLL,YAW,DÖNÜŞ SAYISI,VİDEO AKTARIM
71523,1,15:57:56,1013.60,250.00,250.48,0.48,8.85,24.2,8.09,39.91993,32.85009,1330.6,İNİŞ,0000,17,-5,202,3,HAYIR
71523,2,15:57:56,1012.41,252.49,253.35,0.86,8.91,24.6,8.09,39.91995,32.85009,1329.5,İNİŞ,0000,15,-6,198,3,HAYIR
71523,3,15:57:56,1013.79,251.26,251.31,0.05,9.69,24.4,8.08,39.91992,32.84995,1330.2,İNİŞ,0000,15,-6,200,3,HAYIR
71523,4,15:57:57,1010.50,253.78,253.20,0.58,9.66,24.1,8.08,39.92,32.84993,1331.3,İNİŞ,0000,16,-4,197,3,HAYIR
71523,5,15:57:57,1011.18,253.66,254.33,0.67,9.66,23.9,8.07,39.91999,32.84996,1329.4,İNİŞ,0000,15,-5,198,3,HAYIR
71523,6,15:57:57,1010.53,247.44,246.45,0.98,10.38,24.1,8.07,39.91996,32.85001,1331.8,İNİŞ,1000,14,-6,203,3,HAYIR
71523,7,15:57:57,1013.27,247.32,247.85,0.53,9.85,24.6,8.06,39.92,32.84999,1330.3,İNİŞ,0000,13,-6,197,3,HAYIR
71523,8,15:57:57,1012.36,255.04,255.68,0.65,9.02,24.4,8.06,39.91991,32.84991,1329.0,İNİŞ,0000,15,-5,199,3,HAYIR
71523,9,15:57:57,1012.70,247.87,247.17,0.70,10.44,24.2,8.05,39.91998,32.85006,1329.2,İNİŞ,1000,14,-7,205,3,HAYIR
71523,10,15:57:58,1011.32,254.88,254.86,0.02,8.62,23.8,8.05,39.9199,32.85002,1328.3,İNİŞ,0000,17,-4,202,3,HAYIR
71523,11,15:57:58,1013.99,250.40,251.05,0.65,9.50,24.1,8.04,39.91991,32.84994,1330.2,İNİŞ,0000,14,-6,202,3,HAYIR
71523,12,15:57:58,1013.39,246.84,246.66,0.18,10.31,24.6,8.04,39.92008,32.84992,1328.7,İNİŞ,1000,14,-5,200,3,HAYIR
71523,13,15:57:58,1014.28,249.97,249.26,0.71,8.71,24.3,8.04,39.9199,32.84993,1330.4,İNİŞ,0000,16,-6,201,3,HAYIR
71523,14,15:57:58,1013.73,249.14,248.21,0.93,9.33,24.2,8.03,39.91999,32.8501,1331.0,İNİŞ,0000,13,-4,200,3,HAYIR
71523,15,15:57:59,1014.30,250.64,251.18,0.54,8.53,23.9,8.03,39.91991,32.85003,1328.8,İNİŞ,0000,16,-5,198,3,HAYIR
