TAKIM NO,PAKET NO,GÖNDERME ZAMANI,BASINÇ,YÜKSEKLİK 1,YÜKSEKLİK 2,İRTİFA FARKI,HIZ,SICAKLIK,PİL GERİLİMİ,GPS LAT,GPS LON,GPS ALT,UYDU STATÜSÜ,HATA KODU,PITCH,ROLL,YAW,DÖNÜŞ SAYISI,VİDEO AKTARIM
71523,1,16:30:41,1010.73,245.67,246.42,0.75,9.46,24.1,8.09,39.91997,32.85007,1331.7,İNİŞ,0000,16,-7,204,3,HAYIR
71523,2,16:30:41,1013.14,250.60,250.07,0.53,9.13,24.4,8.09,39.91997,32.84994,1332.0,İNİŞ,0000,16,-6,205,3,HAYIR
71523,3,16:30:41,1014.22,253.04,252.12,0.92,9.18,24.6,8.08,39.91996,32.84996,1330.8,İNİŞ,0000,13,-5,204,3,HAYIR
71523,4,16:30:42,1013.39,254.31,254.71,0.40,8.54,24.4,8.08,39.92007,32.85002,1329.6,İNİŞ,0000,16,-5,196,3,HAYIR
71523,5,16:30:42,1013.95,246.62,246.70,0.08,9.52,24.5,8.07,39.91999,32.85009,1329.3,İNİŞ,0000,15,-6,204,3,HAYIR
71523,6,16:30:42,1014.46,246.58,245.65,0.94,10.09,24.7,8.07,39.91991,32.84994,1330.6,İNİŞ,1000,16,-7,203,3,HAYIR
71523,7,16:30:43,1013.12,247.65,247.75,0.09,10.38,23.9,8.06,39.91992,32.84996,1331.4,İNİŞ,1000,13,-7,196,3,HAYIR
71523,8,16:30:43,1011.47,246.56,247.02,0.47,9.51,24.4,8.06,39.92004,32.85002,1329.6,İNİŞ,0000,17,-5,201,3,HAYIR
71523,9,16:30:43,1014.09,252.61,252.80,0.19,9.03,24.4,8.05,39.92008,32.85004,1331.7,İNİŞ,0000,15,-7,204,3,HAYIR
71523,10,16:30:43,1013.17,248.26,247.48,0.78,9.82,24.7,8.05,39.91991,32.84995,1328.6,İNİŞ,0000,13,-4,205,3,HAYIR
71523,11,16:30:43,1013.49,247.91,248.46,0.55,9.86,24.0,8.04,39.92007,32.85,1328.8,İNİŞ,0000,15,-5,200,3,HAYIR
71523,12,16:30:43,1012.35,246.32,246.75,0.43,8.52,24.4,8.04,39.91995,32.85007,1330.6,İNİŞ,0000,14,-4,198,3,HAYIR
71523,13,16:30:44,1012.19,247.12,247.90,0.78,8.97,24.4,8.04,39.92004,32.85003,1331.0,İNİŞ,0000,15,-3,197,3,HAYIR
71523,14,16:30:44,1012.54,247.05,246.36,0.70,9.60,24.6,8.03,39.91997,32.85006,1328.6,İNİŞ,0000,13,-6,204,3,HAYIR
71523,15,16:30:44,1010.88,255.13,256.11,0.97,9.20,23.8,8.03,39.9199,32.84992,1332.1,İNİŞ,0000,14,-7,197,3,HAYIR
71523,16,16:30:44,1011.80,248.49,248.81,0.32,10.38,24.1,8.02,39.92003,32.84992,1328.5,İNİŞ,1000,17,-7,199,3,HAYIR
71523,17,16:30:44,1013.42,248.09,248.16,0.07,10.47,24.2,8.01,39.91998,32.84991,1331.2,İNİŞ,1000,15,-5,198,3,HAYIR
71523,18,16:30:44,1013.40,251.34,251.64,0.30,10.10,24.7,8.01,39.91993,32.85006,1329.3,İNİŞ,1000,13,-6,197,3,HAYIR
71523,19,16:30:55,1011.81,252.25,251.78,0.47,8.57,24.3,8.00,39.91999,32.85005,1330.7,İNİŞ,0000,14,-5,198,3,HAYIR
71523,20,16:30:55,1013.92,251.42,250.56,0.86,9.19,24.6,8.00,39.92008,32.85003,1331.1,İNİŞ,0000,14,-4,202,3,HAYIR
71523,21,16:30:55,1011.92,253.60,253.04,0.56,9.75,23.7,7.99,39.91992,32.84997,1328.8,İNİŞ,0000,14,-5,205,3,HAYIR
71523,22,16:30:55,1012.83,245.88,245.17,0.70,8.55,24.7,7.99,39.91996,32.85004,1329.5,İNİŞ,0000,16,-7,199,3,HAYIR
71523,23,16:30:55,1014.38,251.67,250.81,0.86,10.44,24.1,7.98,39.92009,32.85005,1332.2,İNİŞ,1000,16,-4,200,3,HAYIR
71523,24,16:30:56,1011.53,249.49,249.11,0.38,10.40,24.1,7.98,39.92009,32.84995,1331.0,İNİŞ,1000,15,-3,199,3,HAYIR
71523,25,16:30:56,1013.77,245.67,245.19,0.48,9.96,23.7,7.97,39.91997,32.85,1328.7,İNİŞ,0000,17,-4,202,3,HAYIR
71523,26,16:30:56,1013.79,249.25,249.02,0.23,8.62,24.4,7.97,39.91992,32.85008,1331.2,İNİŞ,0000,15,-6,202,3,HAYIR
71523,27,16:30:56,1010.88,254.89,253.99,0.90,9.12,24.1,7.96,39.92004,32.85007,1331.7,İNİŞ,0000,15,-3,203,3,HAYIR
