TAKIM NO,PAKET NO,GÖNDERME ZAMANI,BASINÇ,YÜKSEKLİK 1,YÜKSEKLİK 2,İRTİFA FARKI,HIZ,SICAKLIK,PİL GERİLİMİ,GPS LAT,GPS LON,GPS ALT,UYDU STATÜSÜ,PITCH,ROLL,YAW,DÖNÜŞ SAYISI,VİDEO AKTARIM
71523,1,15:52:50,1013.90,248.92,249.18,0.26,9.05,23.7,8.09,39.92009,32.84991,1330.5,İNİŞ,17,-4,204,3,HAYIR
71523,2,15:52:57,1013.78,249.95,249.04,0.92,9.91,23.9,8.09,39.92002,32.84992,1331.1,İNİŞ,17,-3,196,3,HAYIR
71523,3,15:52:57,1012.94,251.35,251.54,0.19,8.82,24.3,8.08,39.92,32.84991,1328.6,İNİŞ,14,-4,198,3,HAYIR
71523,4,15:52:58,1012.46,253.33,253.16,0.18,10.30,24.2,8.08,39.92002,32.85005,1328.5,İNİŞ,15,-6,197,3,HAYIR
71523,5,15:52:58,1012.89,254.12,254.43,0.31,9.06,24.2,8.07,39.92008,32.85006,1329.7,İNİŞ,14,-7,197,3,HAYIR
71523,6,15:52:58,1011.65,247.82,247.68,0.14,9.95,24.2,8.07,39.91997,32.84993,1331.7,İNİŞ,14,-4,201,3,HAYIR
71523,7,15:52:58,1013.75,246.75,247.17,0.43,10.19,24.1,8.06,39.91992,32.85009,1329.9,İNİŞ,17,-4,205,3,HAYIR
71523,8,15:52:59,1011.71,251.86,251.33,0.52,8.57,24.6,8.06,39.92005,32.84994,1328.8,İNİŞ,13,-5,202,3,HAYIR
71523,9,15:52:59,1011.96,250.88,250.46,0.42,9.51,24.5,8.05,39.92003,32.84991,1329.2,İNİŞ,14,-4,202,3,HAYIR
71523,10,15:52:59,1014.40,251.53,251.34,0.19,9.15,23.9,8.05,39.91994,32.84994,1331.1,İNİŞ,16,-7,198,3,HAYIR
71523,11,15:52:59,1010.82,254.48,254.68,0.20,10.37,24.2,8.04,39.91999,32.84991,1329.0,İNİŞ,15,-3,196,3,HAYIR
71523,12,15:52:59,1012.19,254.62,254.19,0.44,10.32,24.5,8.04,39.91991,32.84993,1331.1,İNİŞ,15,-6,197,3,HAYIR
71523,13,15:52:59,1011.12,251.01,251.86,0.85,10.29,24.5,8.04,39.92,32.85003,1330.1,İNİŞ,16,-3,198,3,HAYIR
71523,14,15:53:00,1014.14,249.57,249.88,0.31,9.79,23.8,8.03,39.92003,32.84998,1329.1,İNİŞ,16,-4,195,3,HAYIR
71523,15,15:53:00,1012.52,246.89,247.42,0.53,8.98,24.0,8.03,39.92,32.8501,1331.0,İNİŞ,16,-6,200,3,HAYIR
71523,16,15:53:00,1011.07,248.06,247.20,0.86,8.88,24.6,8.02,39.91999,32.85001,1329.8,İNİŞ,16,-3,196,3,HAYIR
71523,17,15:53:00,1010.52,251.62,251.69,0.07,8.98,23.7,8.01,39.92007,32.84996,1329.5,İNİŞ,14,-5,196,3,HAYIR
71523,18,15:53:00,1010.64,245.35,245.38,0.03,9.53,24.4,8.01,39.91998,32.84996,1329.4,İNİŞ,16,-6,205,3,HAYIR
71523,19,15:53:00,1012.25,245.44,244.64,0.80,10.19,24.6,8.00,39.91992,32.85007,1331.6,İNİŞ,15,-5,198,3,HAYIR
71523,20,15:53:00,1012.99,252.20,251.59,0.61,10.16,24.6,8.00,39.92008,32.84999,1330.7,İNİŞ,13,-3,202,3,HAYIR
71523,21,15:53:09,1012.37,254.71,253.72,0.98,9.67,24.7,7.99,39.92003,32.85003,1330.6,İNİŞ,17,-6,201,3,HAYIR
71523,22,15:53:10,1010.62,246.00,246.61,0.62,9.78,23.9,7.99,39.92002,32.85006,1330.8,İNİŞ,15,-7,204,3,HAYIR
71523,23,15:53:10,1013.02,249.01,249.89,0.88,10.25,23.9,7.98,39.9201,32.84996,1330.9,İNİŞ,16,-6,202,3,HAYIR
71523,24,15:53:10,1013.65,252.20,252.58,0.38,8.68,24.2,7.98,39.91993,32.85008,1331.2,İNİŞ,16,-6,204,3,HAYIR
71523,25,15:53:10,1012.24,249.01,249.97,0.97,9.84,24.2,7.97,39.91993,32.85004,1331.4,İNİŞ,16,-6,203,3,HAYIR
71523,26,15:53:11,1012.04,252.03,251.35,0.68,8.69,24.6,7.97,39.91992,32.85002,1330.1,İNİŞ,16,-7,196,3,HAYIR
71523,27,15:53:11,1013.98,251.46,252.26,0.80,9.44,24.3,7.96,39.92003,32.85,1332.1,İNİŞ,16,-4,204,3,HAYIR
71523,28,15:53:11,1011.10,251.01,251.93,0.92,10.14,24.5,7.96,39.92009,32.85002,1330.8,İNİŞ,13,-4,203,3,HAYIR
71523,29,15:53:11,1013.29,248.62,247.80,0.82,9.06,24.5,7.96,39.91999,32.85007,1331.3,İNİŞ,15,-5,196,3,HAYIR
71523,30,15:53:11,1013.37,251.42,251.42,0.00,9.35,24.6,7.95,39.91995,32.85002,1331.3,İNİŞ,14,-4,204,3,HAYIR
71523,31,15:53:15,1011.89,248.61,247.92,0.70,8.71,23.8,7.94,39.92004,32.85004,1331.0,İNİŞ,14,-4,197,3,HAYIR
71523,32,15:53:15,1010.72,250.17,249.81,0.36,9.95,24.6,7.94,39.92005,32.84991,1330.6,İNİŞ,14,-5,202,3,HAYIR
71523,33,15:53:16,1010.94,254.65,255.02,0.37,10.22,23.7,7.93,39.92001,32.85001,1329.2,İNİŞ,16,-6,200,3,HAYIR
71523,34,15:53:16,1012.03,251.01,251.69,0.68,9.88,24.2,7.93,39.92006,32.85005,1332.2,İNİŞ,17,-5,205,3,HAYIR
71523,35,15:53:16,1011.53,253.48,252.83,0.65,8.71,24.2,7.92,39.91991,32.85004,1329.8,İNİŞ,16,-5,196,3,HAYIR
71523,36,15:53:16,1014.40,254.83,254.46,0.36,9.83,24.7,7.92,39.92006,32.85003,1330.6,İNİŞ,16,-5,198,3,HAYIR
71523,37,15:53:17,1010.72,245.49,245.09,0.40,8.60,24.6,7.92,39.91991,32.84994,1330.6,İNİŞ,16,-4,196,3,HAYIR
71523,38,15:53:17,1012.22,248.33,249.33,1.00,10.25,24.3,7.91,39.91998,32.85007,1328.9,İNİŞ,16,-5,200,3,HAYIR
71523,39,15:53:17,1011.41,249.72,249.35,0.37,10.21,24.1,7.90,39.91995,32.84997,1328.8,İNİŞ,17,-5,200,3,HAYIR
71523,40,15:53:18,1010.68,253.23,252.88,0.35,9.11,23.8,7.90,39.91991,32.84994,1330.2,İNİŞ,16,-4,197,3,HAYIR
71523,41,15:53:18,1011.13,251.99,251.84,0.14,9.31,23.8,7.89,39.92,32.85008,1332.0,İNİŞ,14,-5,196,3,HAYIR
71523,42,15:53:18,1012.13,249.97,249.57,0.40,10.46,23.9,7.89,39.92003,32.85008,1329.8,İNİŞ,16,-4,198,3,HAYIR
71523,43,15:53:21,1014.48,254.78,254.70,0.08,9.46,24.2,7.88,39.92008,32.84992,1330.1,İNİŞ,16,-7,200,3,HAYIR
71523,44,15:53:21,1010.90,245.49,246.28,0.79,10.47,24.5,7.88,39.91999,32.84995,1331.7,İNİŞ,14,-5,196,3,HAYIR
71523,45,15:53:21,1013.50,252.19,252.26,0.07,10.26,24.2,7.88,39.92005,32.85001,1330.5,İNİŞ,13,-6,197,3,HAYIR
71523,46,15:53:21,1013.50,246.40,246.86,0.46,10.24,24.1,7.87,39.9199,32.85008,1328.5,İNİŞ,13,-3,201,3,HAYIR
71523,47,15:53:21,1011.10,251.27,251.65,0.38,9.25,23.8,7.86,39.91995,32.8501,1332.2,İNİŞ,17,-6,202,3,HAYIR
