TAKIM NO,PAKET NO,GÖNDERME ZAMANI,BASINÇ,YÜKSEKLİK 1,YÜKSEKLİK 2,İRTİFA FARKI,HIZ,SICAKLIK,PİL GERİLİMİ,GPS LAT,GPS LON,GPS ALT,UYDU STATÜSÜ,HATA KODU,PITCH,ROLL,YAW,DÖNÜŞ SAYISI,VİDEO AKTARIM
71523,1,23:49:35,1011.28,252.23,253.13,0.90,8.82,24.6,8.09,39.91992,32.84995,1330.3,İNİŞ,0000,16,-3,198,3,HAYIR
71523,2,23:49:35,1011.10,254.57,253.68,0.88,10.10,24.4,8.09,39.92005,32.85004,1329.8,İNİŞ,1000,15,-5,195,3,HAYIR
71523,3,23:49:35,1012.68,251.93,250.99,0.94,9.95,23.9,8.08,39.91998,32.85008,1330.5,İNİŞ,0000,14,-3,204,3,HAYIR
71523,4,23:49:35,1014.02,249.94,249.56,0.38,10.41,24.6,8.08,39.92001,32.84992,1330.2,İNİŞ,1000,15,-6,203,3,HAYIR
71523,5,23:49:36,1012.12,249.44,248.56,0.87,9.56,23.9,8.07,39.91993,32.84999,1331.0,İNİŞ,0000,15,-5,204,3,HAYIR
71523,6,23:49:36,1014.37,246.03,245.07,0.96,9.40,23.7,8.07,39.92009,32.85007,1329.4,İNİŞ,0000,16,-4,197,3,HAYIR
71523,7,23:49:36,1012.89,246.11,247.11,1.00,9.98,24.4,8.06,39.92002,32.84993,1329.8,İNİŞ,0000,14,-6,196,3,HAYIR
71523,8,23:49:36,1012.94,247.96,248.72,0.76,8.51,24.6,8.06,39.92003,32.84993,1329.8,İNİŞ,0000,15,-3,204,3,HAYIR
71523,9,23:49:37,1012.69,249.16,250.00,0.84,9.09,23.7,8.05,39.91995,32.84993,1331.9,İNİŞ,0000,16,-7,203,3,HAYIR
71523,10,23:49:37,1013.91,245.61,244.94,0.68,10.06,24.6,8.05,39.91996,32.85009,1330.2,İNİŞ,1000,17,-3,198,3,HAYIR
71523,11,23:49:37,1011.66,253.16,252.61,0.55,9.96,23.9,8.04,39.92002,32.84992,1328.6,İNİŞ,0000,14,-7,201,3,HAYIR
71523,12,23:49:37,1011.74,247.03,247.11,0.08,9.97,24.2,8.04,39.91998,32.84995,1332.0,İNİŞ,0000,15,-7,202,3,HAYIR
71523,13,23:49:37,1012.47,246.88,246.71,0.17,10.01,24.1,8.04,39.92002,32.85004,1329.2,İNİŞ,1000,14,-5,198,3,HAYIR
71523,14,23:49:38,1012.82,253.41,253.22,0.19,9.11,23.8,8.03,39.92001,32.84995,1330.6,İNİŞ,0000,17,-6,203,3,HAYIR
71523,15,23:49:38,1014.25,255.05,255.66,0.61,8.77,23.8,8.03,39.92,32.85001,1332.2,İNİŞ,0000,17,-3,204,3,HAYIR
71523,16,23:50:18,1011.73,247.68,247.16,0.53,10.09,24.0,8.02,39.92004,32.85001,1331.3,İNİŞ,1000,14,-4,204,3,HAYIR
71523,17,23:50:18,1013.37,247.66,248.09,0.43,8.93,23.8,8.01,39.92001,32.85005,1330.0,İNİŞ,0000,14,-4,204,3,HAYIR
71523,18,23:50:19,1012.03,246.43,247.25,0.82,10.43,23.9,8.01,39.92004,32.84999,1330.5,İNİŞ,1000,15,-6,204,3,HAYIR
71523,19,23:50:19,1013.59,247.26,246.50,0.76,10.05,23.9,8.00,39.92002,32.84999,1329.2,İNİŞ,1000,14,-3,203,3,HAYIR
71523,20,23:50:19,1013.90,247.65,248.00,0.35,9.04,24.7,8.00,39.92004,32.84999,1332.3,İNİŞ,0000,13,-6,201,3,HAYIR
71523,21,23:50:19,1011.39,248.58,248.12,0.46,9.24,24.1,7.99,39.92001,32.85,1330.7,İNİŞ,0000,15,-7,200,3,HAYIR
71523,22,23:50:19,1013.79,249.62,250.60,0.98,9.97,24.4,7.99,39.92005,32.84998,1329.7,İNİŞ,0000,16,-5,201,3,HAYIR
71523,23,23:50:19,1011.40,252.48,251.96,0.52,9.95,24.6,7.98,39.92007,32.85006,1331.6,İNİŞ,0000,16,-5,195,3,HAYIR
71523,24,23:50:20,1013.80,247.32,248.18,0.86,10.45,24.1,7.98,39.92005,32.84994,1332.0,İNİŞ,1000,14,-6,204,3,HAYIR
71523,25,23:50:20,1011.45,247.93,247.50,0.43,8.66,24.1,7.97,39.92002,32.84999,1328.3,İNİŞ,0000,14,-4,200,3,HAYIR
71523,26,23:50:20,1012.94,248.81,247.95,0.86,8.87,24.2,7.97,39.92009,32.84998,1331.2,İNİŞ,0000,14,-5,196,3,HAYIR
71523,27,23:50:20,1011.91,246.64,247.17,0.53,8.51,24.5,7.96,39.92009,32.85005,1329.0,İNİŞ,0000,14,-6,199,3,HAYIR
71523,28,23:50:20,1012.45,253.43,253.71,0.28,9.36,24.4,7.96,39.91991,32.85002,1332.3,İNİŞ,0000,14,-6,195,3,HAYIR
71523,29,23:50:20,1014.20,252.08,251.26,0.82,9.21,24.0,7.96,39.91997,32.85005,1328.3,İNİŞ,0000,15,-7,205,3,HAYIR
